"title","wikibase_item","Distributor"
"برف بی‌صدا می‌بارد","Q113115284","distributor = <!-- توزیع‌کننده --> "
"پلتفرم (فیلم)","Q67628998","distributor = [[نت‌فلیکس]] "
"وست‌ورلد (مجموعه تلویزیونی)","Q17572811","distributor = [[وارنر برادرز تله‌ویژن]] "
"نیسان آبی (مجموعه نمایش خانگی)","Q108935597","distributor = [[فیلیمو]] "
"انگل (فیلم ۲۰۱۹)","Q61448040","distributor = [[سی‌جی انترتینمنت]] "
"باشگاه مبارزه","Q190050","distributor = [[فاکس قرن بیستم]] "
"ایزل","Q840657","distributor = | network = [[شو تی‌وی]] (۲۸ سپتامبر ۲۰۰۹–۱۱ ژانویه ۲۰۱۰){{سخ}}[[شبکه آ تی‌وی (ترکیه)"
"سلمان فارسی (مجموعه تلویزیونی)","Q106494004","distributor = | budget = "
"بازگشته (فیلم ۲۰۱۵)","Q18002795","distributor = [[فاکس قرن بیستم]] "
"گلادیاتور (فیلم ۲۰۰۰)","Q128518","distributor = {{فهرست ساده"
"نگران نباش عزیزم (فیلم ۲۰۲۲)","Q100801718","distributor = [[برادران وارنر پیکچرز]] "
"هیولا (مجموعه نمایش خانگی)","Q64699466","distributor = [[تصویر دنیای هنر]]{{سخ}}[[اول مارکت]]{{سخ}}[[نماوا]]{{سخ}}[[فیلیمو]] "
"آقای ملکه","Q100605045","distributor = [[تی‌وی‌ان (شبکه تلویزیونی کره جنوبی)"
"بلوند (فیلم ۲۰۲۲)","Q66823622","distributor = [[نتفلیکس]] "
"هرجایی (مجموعه تلویزیونی ۲۰۱۹)","Q63005587","distributor = شبکهٔ آ تی‌وی ترکیه "
"هزاردستان (مجموعه تلویزیونی)","Q3135109","distributor = <!-- توزیع‌کننده --> "
"بربادرفته (فیلم ۱۹۳۹)","Q2875","distributor = [[Loews Cineplex Entertainment"
"مردان آنجلس","Q12179870","distributor = | channel = [[شبکه یک سیمای جمهوری اسلامی ایران]]{{سخ}}بازپخش در شبکه [[شبکه تماشا]] "
"پرستیژ (فیلم ۲۰۰۶)","Q46551","distributor = {{فهرست ساده"
"پیمان (فیلم ۲۰۲۳)","Q110819073","distributor = [[یونایتد آرتیستس]] (ایالات متحده){{سخ}}[[آمازون استودیوز]] (بین‌المللی) "
"افسانه نه دم","Q97194459","distributor = [[تی‌وی‌ان (شبکه تلویزیونی کره جنوبی)"
"داستان عامه‌پسند","Q104123","distributor = [[میرامکس]] "
"تنت","Q63985561","distributor = [[برادران وارنر]] "
"اره ۱۰","Q115734942","distributor = [[لاینزگیت فیلمز]] "
"سه قدم بالاتر از بهشت","Q944385","distributor = [[برادران وارنر]] "
"جونگ میونگ","Q19795129","distributor = | channel = [[بنگاه پخش مونهوا]] "
"مهمونی","Q111441306","distributor = [[نماوا]](فصل اول){{سخ}}[[نماوا]] و [[فیلیمو]](فصل دوم) "
"هری پاتر و سنگ جادو (فیلم)","Q102438","distributor = [[برادران وارنر]] "
"دل (مجموعه نمایش خانگی)","Q82698841","distributor = | channel = [[رسانه خانگی"
"بتمن (فیلم ۲۰۲۲)","Q61117344","distributor = [[برادران وارنر پیکچرز]] "
"دختران خوب","Q30608181","distributor = [[NBCUniversal Television Distribution]] "
"از جانب (مجموعه تلویزیونی)","Q107072432","distributor = ام‌جی‌ام<ref>{{cite web "
"غرور و تعصب (فیلم ۲۰۰۵)","Q270385","distributor = {{فهرست ساده"
"عشق حرف حالیش نمیشه","Q25478260","distributor = | network = [[شو تی‌وی]] "
"شوالیه تاریکی برمی‌خیزد","Q189330","distributor = برادران وارنر پیکچرز "
"وینچنزو (مجموعه تلویزیونی)","Q101252455","distributor = [[سی‌جی ئی اند ام]]{{سخ}}[[نتفلیکس]] {{small"
"ممنوعه","Q56368114","distributor = [[مؤسسه سرو رسانه پارسیان]] "
"قاتلان ماه گل","Q66316924","distributor = {{فهرست ساده"
"بلید رانر ۲۰۴۹","Q21500755","distributor = {{فهرست ساده"
"لافت (فیلم)","Q2157076","distributor = {{Plainlist"
"مرا با نامت صدا کن (فیلم)","Q25136757","distributor = {{فهرست ساده"
