"title","weighted_tags","wikibase_item","FilmID","primaryTitle","status","QID.imdb","imdb.status"
"باز مدرسم دیر شد","classification.ores.articletopic/Culture.Media.Media*|976|classification.ores.articletopic/Culture.Media.Films|771|classification.ores.articletopic/Geography.Regions.Asia.West_Asia|724|classification.ores.articletopic/Geography.Regions.Asia.Asia*|665","Q16048242","tt2295109",NA,NA,NA,NA
"معراجی‌ها (فیلم)","classification.ores.articletopic/Culture.Media.Media*|997|classification.ores.articletopic/Culture.Media.Films|998","Q16047615","tt3719550","Ascending People","not exact match",NA,NA
"فیلم‌شناسی واکین فینیکس","classification.ores.articletopic/Culture.Media.Films|475|classification.ores.articletopic/Culture.Media.Media*|824|classification.ores.articletopic/Culture.Biography.Biography*|627","Q25040819","tt4971344","The Sisters Brothers","not exact match",NA,NA
"سارا علی‌خان","classification.ores.articletopic/Culture.Biography.Biography*|917|classification.ores.articletopic/Geography.Regions.Asia.Asia*|950|classification.ores.articletopic/History and Society.History|148|classification.ores.articletopic/Geography.Regions.Asia.South Asia|954|classification.ores.articletopic/Culture.Media.Films|295","Q59513147","tt7027278","Kedarnath","not exact match",NA,NA
"ییعیت کوچاک","classification.ores.articletopic/Geography.Regions.Asia.Asia*|731|classification.ores.articletopic/Culture.Biography.Biography*|989|classification.ores.articletopic/Culture.Media.Media*|585|classification.ores.articletopic/Geography.Regions.Asia.West_Asia|607|classification.ores.articletopic/Culture.Media.Films|718|classification.ores.articletopic/Culture.Biography.Women|685","Q116920890","tt10178911",NA,NA,NA,NA
"وقتی همه خوابیم","classification.ores.articletopic/Culture.Media.Films|777|classification.ores.articletopic/Culture.Media.Media*|743|recommendation.link/exists|1","Q5946218","tt1431342","When We Are All Sleep","not exact match",NA,NA
"ندا جبرائیلی","classification.ores.articletopic/Geography.Regions.Asia.Asia*|896|classification.ores.articletopic/Culture.Biography.Biography*|504|classification.ores.articletopic/Geography.Regions.Asia.West Asia|645|classification.ores.articletopic/Culture.Media.Films|519","Q28712914","tt4856674","Paradise","not exact match",NA,NA
"جان فورد","classification.ores.articletopic/Culture.Media.Media*|998|classification.ores.articletopic/Culture.Biography.Biography*|754|classification.ores.articletopic/Culture.Media.Films|998|classification.ores.articletopic/Geography.Regions.Americas.North_America|685","Q51114","tt0033729","How Green Was My Valley","not exact match",NA,NA
"شماره ۱۷ سهیلا","classification.ores.articletopic/Culture.Media.Media*|953|classification.ores.articletopic/Culture.Biography.Biography*|914|classification.ores.articletopic/Geography.Regions.Asia.West_Asia|870|classification.ores.articletopic/Culture.Media.Films|843|classification.ores.articletopic/Geography.Regions.Asia.Asia*|766","Q28464843","tt8967900","Soheila No. 17","not exact match",NA,NA
"نیش زنبور","classification.ores.articletopic/Culture.Media.Media*|992|classification.ores.articletopic/Culture.Media.Films|962","Q10859930","tt5244886","Bee's Sting","not exact match",NA,NA
