"title","wikibase_item","Studio"
"زنده (فیلم ۱۹۹۳)","Q332798","studio = [[تاچ‌استون پیکچرز]]{{سخ}}[[پارامونت پیکچرز]]{{سخ}}[[The Kennedy/Marshall Company]] "
"پادشاه و من (فیلم ۱۹۵۶)","Q27149","studio = | distributor = [[فاکس قرن بیستم]] "
"دختران شو","Q532264","studio = {{فهرست ساده"
"رکود بزرگ (فیلم)","Q19850715","studio = [[پلن بی اینترتینمنت]] "
"کفرناحوم (فیلم)","Q51803319","studio = Mooz Films "
"شیرشاه (فیلم ۲۰۱۹)","Q27044293","studio = {{فهرست ساده"
"ایندیانا جونز و گردانه سرنوشت","Q24278982","studio = {{فهرست ساده"
"مرد پولادین","Q622769","studio = {{Plainlist"
"گریمزبی (فیلم)","Q17182419","studio = [[ویلیج رودشو پیکچرز]]<ref>{{cite web"
"سیندرلا (فیلم ۲۰۲۱)","Q83973483","studio = {{فهرست ساده"
"بربر (فیلم ۲۰۲۲)","Q38526439","studio = {{فهرست ساده"
"آزادی پستان (فیلم)","Q15046523","studio = {{فهرست ناگلوله‌ای"
"آرگایل (فیلم)","Q107460063","studio = [[مارو استودیوز]] "
"گشت‌وگذار در جنگل","Q24285605","studio = {{Plainlist"
"ری (فیلم)","Q797242","studio = [[Bristol Bay Productions]]{{سخ}}Anvil Films{{سخ}}Baldwin Entertainment Group "
"پاندای کونگ‌فوکار ۳","Q15055043","studio = [[دریم‌ورکس انیمیشن]]{{سخ}}اُرینتال دریم‌ورکس "
"اعلان قرمز (فیلم)","Q58815001","studio = {{فهرست ساده"
"آنچارتد (فیلم)","Q67171881","studio = {{فهرست ساده"
"نفس نکش","Q21450470","studio = گوست هاوس پیکچرز{{سخ}}گوود یونیورس "
"سلطان (فیلم ۲۰۱۶)","Q20762695","studio = [[یاش راج فیلمز]] "
"آکوامن و پادشاهی گم‌شده","Q91226161","studio = {{فهرست ساده"
"گنجشک سرخ","Q28173075","studio = [[چرنین اینترتینمنت]] "
"سرزمین فردا (فیلم)","Q7820305","studio = [[والت دیزنی پیکچرز]] "
"بلک ادم (فیلم)","Q28657013","studio = {{فهرست ساده"
"لبخند (فیلم ۲۰۲۲)","Q112623225","studio = {{فهرست ساده"
"گردآورنده (فیلم ۲۰۰۹)","Q600095","studio = فورترس فیچرز{{سخ}}نیو آرت اند لاجیک "
"مهاجم مقبره (فیلم ۲۰۱۸)","Q28489891","studio = {{فهرست ساده"
"آنا (فیلم ۲۰۱۹)","Q43184957","studio = {{plainlist"
"فورد در برابر فراری","Q55081822","studio = [[پیتر چرنین]] "
"افسون (فیلم ۲۰۲۱)","Q103372692","studio = {{فهرست ساده"
"به پیش","Q59690895","studio = [[والت دیزنی پیکچرز]]{{سخ}}[[پیکسار]] "
"جن‌گیر: مؤمن","Q107610336","studio = {{فهرست ساده"
"منشی (فیلم ۲۰۰۲)","Q742195","studio = | distributor = [[لاینزگیت]] "
"دو ساد (فیلم)","Q2019620","studio = Central Cinema Company "
"۱۹۱۷ (فیلم ۲۰۱۹)","Q62721520","studio = {{Plainlist"
"لوگان (فیلم)","Q24053263","studio = {{Plainlist"
"بازی جرالد (فیلم)","Q27940451","studio = [[Intrepid Pictures"
"نوح (فیلم)","Q286868","studio = | distributor = [[پارامونت پیکچرز]] "
"مرگ بر روی نیل (فیلم ۲۰۲۲)","Q56816969","studio = [[فاکس قرن بیستم]] "
"کوهنوردان","Q61882061","studio = | cinematography = ژانگ دونگلیانگ "
"فرار (فیلم ۲۰۲۰)","Q60737911","studio = {{Plainlist"
"هالک شگفت‌انگیز (فیلم)","Q466611","studio = {{فهرست ساده"
"سیندرلا (فیلم ۲۰۱۵)","Q15046091","studio = [[والت دیزنی پیکچرز]] "
"جنگ ستارگان: قسمت اول – تهدید شبح","Q165713","studio = [[لوکاس‌فیلم]] "
"در جبهه غرب خبری نیست (فیلم ۲۰۲۲)","Q108837349","studio = امیوزمنت پارک "
"ونوم: بگذارید کارنیج بیاید","Q60498064","studio = {{فهرست ساده"
"جوخه انتحار (فیلم ۲۰۲۱)","Q57317060","studio = {{فهرست ساده"
"نظریه همه‌چیز (فیلم ۲۰۱۴)","Q15079318","studio = [[ورکینگ تایتل فیلمز]] "
"نخستین خون","Q244963","studio = [[کارولکو پیکچرز]] "
"ورونیکا (فیلم)","Q39073956","studio = | distributor = "
"مثلث غم","Q97304180","studio = {{فهرست ساده"
"رایا و آخرین اژدها","Q66738105","studio = {{فهرست ساده"
"تقدیر (فیلم ۲۰۱۴)","Q17014394","studio = بلکلب اینترتیمنت{{سخ}}[[اسکرین استریلیا]]{{سخ}}ولف‌هاوند پیکچرز "
"آمستردام (فیلم ۲۰۲۲)","Q104830968","studio = {{فهرست ساده"
"تمرکز (فیلم ۲۰۱۵)","Q15548282","studio = زفتینگ فیلمز{{سخ}}[[دنیس دی نوووی"
"حقه‌بازی آمریکایی","Q9013673","studio = {{فهرست ساده"
"شجاعت واقعی (فیلم ۱۹۶۹)","Q603263","studio = | distributor = [[پارامونت پیکچرز]] "
"آخرین سامورایی","Q207130","studio = | genre = [[حاشیه صوتی"
"زن اغواگر (فیلم ۲۰۰۲)","Q522185","studio = Epsilon Motion Pictures{{سخ}}Quinta Communications "
"امپراتوری شهوت","Q19161798","studio = فاین‌ورکس{{سخ}}کی‌میکر "
"کازینو رویال (فیلم ۲۰۰۶)","Q151904","studio = {{فهرست ساده"
"سیاه‌چال‌ها و اژدهایان: شرافت دزدها","Q105554572","studio = {{فهرست ساده"
"کاپیتان آمریکا: جنگ داخلی","Q18407657","studio = [[مارول استودیوز]] "
"تعطیلات (فیلم ۲۰۱۵)","Q18155457","studio = [[نیو لاین سینما]] "
"من شیطان را دیدم","Q485725","studio = | distributor = [[شوباکس]]/میدیاپلکس "
"آفریننده (فیلم ۲۰۲۳)","Q110617876","studio = [[ریجنسی انترتینمنت]] "
"موج ۳","Q14948561","studio = [[یاش راج فیلمز]] "
