"title","weighted_tags","wikibase_item","FilmID","primaryTitle","status","QID.imdb","imdb.status"
"La sirenita (musical)","classification.ores.articletopic/Culture.Media.Music|904|classification.ores.articletopic/Culture.Biography.Biography*|515|classification.ores.articletopic/Culture.Media.Media*|928|classification.ores.articletopic/Culture.Performing_arts|569|classification.ores.articletopic/Culture.Media.Films|629|recommendation.image/exists|1","Q911906","tt0097757","The Little Mermaid","not exact match",NA,NA
"Docuficción","classification.ores.articletopic/Culture.Media.Media*|996|classification.ores.articletopic/Culture.Media.Films|998|recommendation.image_section/exists|1","Q472637","tt0073037","Gente da Praia da Vieira","not exact match",NA,NA
"Rosa de lejos (película)","classification.ores.articletopic/Culture.Media.Films|951|classification.ores.articletopic/Culture.Media.Media*|990|classification.ores.articletopic/Geography.Regions.Americas.South_America|523|classification.oneoff.T301028/argentina","Q7367145","tt0337116",NA,NA,NA,NA
"Premios y nominaciones de Dallas Buyers Club","classification.ores.articletopic/Culture.Media.Films|993|classification.ores.articletopic/History and Society.Society|573|classification.ores.articletopic/Culture.Media.Media*|965","Q16819981","tt0790636","Dallas Buyers Club","not exact match",NA,NA
"Filmografía de Ridley Scott","classification.ores.articletopic/Culture.Media.Films|964|classification.ores.articletopic/Culture.Media.Media*|957","Q18924389","tt0000631","Hamlet","not exact match",NA,NA
"Killjoy (personaje)","classification.ores.articletopic/Culture.Media.Media*|995|classification.ores.articletopic/Culture.Literature|987|classification.ores.articletopic/Culture.Media.Video_games|976|classification.ores.articletopic/Culture.Internet_culture|961|classification.ores.articletopic/Culture.Media.Films|562","Q107315226","tt12104902","Valorant","not exact match",NA,NA
"Ash (androide)","classification.ores.articletopic/Culture.Literature|977|classification.ores.articletopic/Culture.Media.Films|892|classification.ores.articletopic/Culture.Media.Books|628|classification.ores.articletopic/Culture.Media.Entertainment|664|classification.ores.articletopic/Culture.Media.Media*|990","Q133393","tt0090605","Aliens","not exact match",NA,NA
"Fetichismo de látex","classification.ores.articletopic/Culture.Media.Media*|766|classification.ores.articletopic/History_and_Society.Society|949|classification.ores.articletopic/STEM.STEM*|777|classification.ores.articletopic/STEM.Biology|826|classification.ores.articletopic/Culture.Media.Films|826","Q1417676","tt0093727","Personal Services","not exact match",NA,NA
"Videografía y filmografía de Miley Cyrus","classification.ores.articletopic/Culture.Media.Music|153|classification.ores.articletopic/Culture.Media.Media*|932|classification.ores.articletopic/Culture.Media.Films|279|classification.ores.articletopic/Culture.Biography.Biography*|688","Q16161942","tt1672810","Miley Cyrus: Live at the O2","not exact match",NA,NA
"Filmografía de Gary Cooper","classification.ores.articletopic/Culture.Media.Media*|932|classification.ores.articletopic/Culture.Media.Films|997|classification.ores.articletopic/Culture.Biography.Biography*|458","Q5524894","tt0748264","The Western","not exact match",NA,NA
"Películas cubanas","classification.ores.articletopic/Culture.Media.Films|908|classification.ores.articletopic/Culture.Media.Media*|904","Q6568148","tt0468114","La serpiente roja","not exact match",NA,NA
"Filmografía de Penélope Cruz","classification.ores.articletopic/Culture.Media.Films|971|classification.ores.articletopic/Culture.Biography.Women|671|classification.ores.articletopic/Culture.Biography.Biography*|952","Q6351478","tt0115945","A Corner of Paradise","not exact match",NA,NA
"El auge del humano 3","classification.ores.articletopic/Culture.Media.Films|1000|classification.ores.articletopic/Culture.Media.Media*|1000","Q121391717","tt28293875","The Human Surge 3","not exact match",NA,NA
"El hombre del traje negro","classification.ores.articletopic/Culture.Media.Media*|988|classification.ores.articletopic/Culture.Literature|992|classification.ores.articletopic/Culture.Media.Films|307|classification.ores.articletopic/Culture.Media.Books|994","Q2045767","tt0404220","The Man in the Black Suit","not exact match",NA,NA
"Camila Arteche","classification.ores.articletopic/Culture.Media.Films|585|classification.ores.articletopic/Culture.Biography.Biography*|987|classification.ores.articletopic/Culture.Biography.Women|798|classification.ores.articletopic/Culture.Media.Media*|651","Q56328691","tt5095010","The Companion","not exact match",NA,NA
"Private Snafu","classification.ores.articletopic/Culture.Media.Films|993|classification.ores.articletopic/Culture.Media.Media*|980|recommendation.image_section/exists|1","Q1141955","tt0305983","Private Snafu Presents Seaman Tarfu in the Navy","not exact match",NA,NA
"Peter Parker (serie de películas de Sam Raimi)","classification.ores.articletopic/Culture.Media.Films|531|classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|970|classification.ores.articletopic/Culture.Media.Media*|699|classification.ores.articletopic/Culture.Literature|982|classification.ores.articletopic/Culture.Visual_arts.Comics_and_Anime|955|recommendation.image_section/exists|1","Q60464931","tt0290983","Spider-Man","not exact match",NA,NA
"Premios y nominaciones de Black Swan","classification.ores.articletopic/Culture.Media.Films|996|classification.ores.articletopic/History and Society.Society|792|classification.ores.articletopic/Culture.Media.Media*|951","Q6119790","tt0947798","Black Swan","not exact match",NA,NA
"Historia de Madonna en el cine","classification.ores.articletopic/Culture.Biography.Biography*|592|classification.ores.articletopic/Culture.Media.Media*|982|classification.ores.articletopic/Culture.Media.Films|924","Q28502052","tt0319783","Madonna: Exposed","not exact match",NA,NA
