"title","wikibase_item","FilmID","status","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres"
"Chris Vander Kaay","Q122751245","tt2175016","not exact match","movie","The Redemption of Henry Myers","The Redemption of Henry Myers",0,"2014","\N","101","Western"
"Donald Brockett","Q16728615","tt0102933","not exact match","tvMovie","Sins of the Mother","Sins of the Mother",0,"1991","\N","93","Drama"
"Kiran Kulkarni vs Kiran Kulkarni","Q117210083","tt9514690","not exact match","movie","Kiran Kulkarni VS Kiran Kulkarni","Kiran Kulkarni VS Kiran Kulkarni",0,"2016","\N","143","Drama"
"Sheida (film)","Q14756003","tt1919064","not exact match","movie","Sheida","Sheida",0,"1999","\N","100","Drama,Romance,War"
"Police Line","Q115907812","tt6421120","not exact match","movie","Police Lines Ek Purna Satya","Police Lines Ek Purna Satya",0,"2016","\N","123","Family"
"Campus Katta","Q115959802","tt18989680","match","movie","Campus Katta","Campus Katta",0,"2014","\N","\N","Drama"
"Maati Balidan Ki","Q6787385","tt2732586","match","movie","Maati Balidan Ki","Maati Balidan Ki",0,"1986","\N","\N","Drama"
"Adastra Films","Q2823848","tt4880576","not exact match","short","H recherche F","H recherche F",0,"2015","\N","12","Animation,Comedy,Romance"
"Heretic Films","Q16995254","tt3132632","not exact match","movie","Misery Loves Comedy","Misery Loves Comedy",0,"2015","\N","94","Comedy,Documentary"
"Gaki Rock","Q16839519","tt3708106","match","movie","Gaki Rock","Gaki Rock",0,"2014","\N","\N","Drama,Romance"
"Martin Hill (camera collector)","Q17478669","tt0069811","not exact match","movie","The Body Shop","The Body Shop",0,"1972","\N","75","Horror,Sci-Fi"
"Mujib Amar Pita","Q118902946","tt13717916","not exact match","movie","My Father Mujib","My Father Mujib",0,"2021","\N","49","Animation,Biography"
"Smugglers Beware","Q122898271","tt0281484","match","tvSeries","Smugglers Beware","Smugglers Beware",0,"1963","\N","30","Family"
"Zeno Mountain Farm","Q24260880","tt3233704","not exact match","movie","Becoming Bulletproof","Becoming Bulletproof",0,"2014","\N","80","Documentary,Western"
"Perigi's Wonderful Dolls","Q64746663","tt12874372",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nenapinangala","Q113245284","tt14097592","match","movie","Nenapinangala","Nenapinangala",0,"2013","\N","140","Drama"
"Love ... and Other Bad Habits","Q61112976","tt2715098","not exact match","movie","Love... And Other Bad Habits","Love... And Other Bad Habits",0,"2013","\N","81","Romance"
"WA Screen Academy","Q7946948","tt7551218","not exact match","short","Dark Horses","Dark Horses",0,"2017","\N","10","Drama,Short"
"Walturdaw Company Limited","Q25350288","tt3599606","not exact match","short","The Lusitania at Liverpool","The Lusitania at Liverpool",0,"1907","\N","\N","Documentary,Short"
"The Fundamental Gilbert and George","Q118903809","tt1834764","not exact match","tvEpisode","Gilbert and George: Part 1","Gilbert and George: Part 1",0,"1997","\N","\N","Documentary"
"Kevin Alexander Boon","Q22003415","tt3349728","not exact match","movie","Ghosting","Ghosting",0,"2016","\N","90","Horror,Mystery,Thriller"
"Melancholy (film)","Q23698339","tt5797456","not exact match","movie","Melancholia","Melancholy",0,"2017","\N","75","Drama,Mystery,Romance"
"Badri Pandey","Q107863808","tt9469758",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Te Aath Diwas","Q117253886","tt13312550","not exact match","movie","Te Aath Divas","Te Aath Divas",0,"2015","\N","119","Drama"
"Come Marry Me","Q11263035","tt0060808","match","movie","Come Marry Me","Oyome ni oide",0,"1966","\N","84","Comedy,Drama,Music"
"Neat and Tidy: Adventures Beyond Belief","Q121047163","tt0092512","not exact match","tvSeries","Adventures Beyond Belief","Adventures Beyond Belief",0,"1988","\N","30","Action,Comedy"
"The Midnight Waltz","Q106716568","tt1685501","not exact match","movie","Der Mitternachtswalzer","Der Mitternachtswalzer",0,"1929","\N","\N","\N"
"Mansukh Chaturvedi ki Atmakatha","Q85846543","tt9595738","not exact match","movie","Mansukh Chaturvedi Ki Atmakatha","Mansukh Chaturvedi Ki Atmakatha",0,"2019","\N","90","Drama"
"Granite Peak (play)","Q121090737","tt1282877","not exact match","tvEpisode","Granite Peak","Granite Peak",0,"1957","\N","\N","Comedy,Drama"
"Something for Nothing (book)","Q4226224","tt0480600","not exact match","movie","The Utilizer","The Utilizer",0,"1996","\N","\N","Sci-Fi"
"War Stories Our Mothers Never Told Us","Q122171225","tt0114894","not exact match","movie","War Stories","War Stories",0,"1995","\N","95","Documentary,Romance,War"
"Judgement Day (1940 film)","Q106716714","tt0031524","not exact match","movie","Das jüngste Gericht","Das jüngste Gericht",0,"1940","\N","77","\N"
"Jo Baker (make-up artist)","Q16153431","tt2261389","not exact match","movie","Chasing Beauty","Chasing Beauty",0,"2013","\N","90","Biography,Documentary"
"Big World Pictures","Q20649349","tt2364673","not exact match","movie","Frankenstein Created Bikers","Frankenstein Created Bikers",0,"2016","\N","125","Action,Crime,Horror"
"Tess Girard","Q30055676","tt1869245","not exact match","movie","A Simple Rhythm","A Simple Rhythm",0,"2010","\N","56","Documentary,Music"
"CWRU Film Society Science Fiction Marathon","Q109802030","tt4468646","not exact match","movie","Sci-Fi Marathon the Movie or How to Spend a Weekend with 250 Geeks","Sci-Fi Marathon the Movie or How to Spend a Weekend with 250 Geeks",0,"\N","\N","\N","Documentary"
"Dennis M. Hedlund","Q5258672","tt0949482","not exact match","video","The Original Amateur Hour","The Original Amateur Hour",0,"2005","\N","282","Documentary,Music"
"Șantaj","Q28726639","tt0083029","not exact match","movie","Santaj","Santaj",0,"1981","\N","96","Comedy,Thriller"
"Sethu Eyyal","Q99941948","tt11950711",NA,NA,NA,NA,NA,NA,NA,NA,NA
"This is Vanity","Q122228706","tt2499310","not exact match","short","This Is Vanity","This Is Vanity",0,"2013","\N","23","Drama,Short"
"2008 Zurich Film Festival","Q4612315","tt1294187","not exact match","movie","Mr. Rakowski","Mr. Rakowski",0,"2007","\N","75","Documentary"
"Livinus Nnochiri","Q63699361","tt9053138","not exact match","movie","Bond","Bond",0,"\N","\N","\N","Drama"
"Inu-Neko","Q2110861","tt1499648","not exact match","movie","Ecchi o nerae!: Inuneko.","Ecchi o nerae!: Inuneko.",0,"2009","\N","\N","Drama,Romance"
"The Elstree Project","Q17152595","tt3006564","not exact match","short","Revisiting the Elstree Story","Revisiting the Elstree Story",0,"2013","\N","22","Documentary,Short"
"Boston Society of Film Critics Awards 1986","Q4948094","tt0091558","not exact match","movie","Mother Teresa","Mother Teresa",0,"1986","\N","81","Biography,Documentary"
"Knature of a Girl","Q17018289","tt15508384",NA,NA,NA,NA,NA,NA,NA,NA,NA
"San Francisco Film Critics Circle Awards 2002","Q7414020","tt0324369","not exact match","movie","Underground Zero","Underground Zero",0,"2002","\N","76","Documentary"
"Tadeusz Czesław Malinowski","Q18942235","tt2155870","not exact match","movie","Eksmisja","Eksmisja",0,"2012","\N","80","Documentary,Drama,History"
"Knok Studio","Q19879619","tt3252904","not exact match","short","Pressed","Pressed",0,"2013","\N","5","Short"
"Kathai Kathaiyam Karanamam","Q121858162","tt9014928","not exact match","movie","Kathai Kathayam Karnamam","Kathai Kathayam Karnamam",0,"1987","\N","135","Drama"
"Skindigenous","Q117598461","tt6855804","match","tvSeries","Skindigenous","Skindigenous",0,"2018","2021","22","Documentary"
"Tareck Raffoul","Q97332798","tt3654020","not exact match","short","Piros Fehér Zöld","Piros Fehér Zöld",0,"2013","\N","10","Documentary,Drama,Short"
"Volatile Works","Q17031902","tt0436983","not exact match","short","Zombie Business","Zombie Business",0,"2004","\N","16","Horror,Short"
"Jack Shamama","Q6115089","tt1800738","not exact match","short","Smut Capital of America","Smut Capital of America",0,"2011","\N","17","Biography,Documentary,Short"
"Hagramayao Jinahari","Q61354720","tt0305623","not exact match","movie","Hagramayaojinahari","Hagramayaojinahari",0,"1995","\N","73","Crime"
"Mystery of Burma: Beyond the Dotehtawady","Q77885514","tt8806770","not exact match","movie","Mystery of Burma: Beyond The Dotehtawady","Mystery of Burma: Beyond The Dotehtawady",0,"2018","\N","\N","Action,Adventure"
"Setangan Berloemoer Darah","Q16879360","tt1846730","match","movie","Setangan Berloemoer Darah","Setangan Berloemoer Darah",0,"1928","\N","\N","\N"
"Made in Texas","Q19572779","tt1830811","not exact match","short","Speed of Light","Speed of Light",0,"1980","\N","30","Short"
"Vu T. Thu Ha","Q20984311","tt0367040","not exact match","short","Shut Up White Boy","Shut Up White Boy",0,"2002","\N","20","Comedy,Short"
"Sarpanch Bhagirath","Q115917789","tt9460610","match","movie","Sarpanch Bhagirath","Sarpanch Bhagirath",0,"2016","\N","\N","Drama"
"Adipura","Q19723705","tt0343283","not exact match","tvSeries","Pearls of Love","Mutiara Cinta",0,"1996","\N","60","Drama"
"1971 FAMAS Awards","Q17060829","tt0358938","not exact match","movie","Mga anghel na walang langit","Mga anghel na walang langit",0,"1970","\N","\N","\N"
"Sabira Sultana","Q121947243","tt2702358","not exact match","short","Deeds Not Words","Deeds Not Words",0,"2013","\N","10","Drama,Short,War"
"Amazônia Groove","Q65163229","tt4195854","match","movie","Amazônia Groove","Amazônia Groove",0,"2018","\N","85","Documentary,Music"
"Stand Still Time","Q120677872","tt1298084","match","tvEpisode","Stand Still Time","Stand Still Time",0,"1954","\N","\N","Drama"
"Raw Nerve Short Film Initiative","Q7296881","tt2125588","not exact match","short","Piercing Silence","Piercing Silence",0,"2011","\N","11","Biography,Documentary,Short"
"Seed of Evil","Q60737890","tt3124458","not exact match","movie","Nie zhong","Nie zhong",0,"1981","\N","\N","Thriller"
"Talahib at Rosas","Q121319626","tt0425511","not exact match","movie","Talahib at rosas","Talahib at rosas",0,"1994","\N","94","Action,Drama,Romance"
"Body Language (2017 film)","Q113273969","tt8348154","not exact match","movie","Body Language","Body Language",0,"2017","\N","\N","Drama"
"Life of St. Paul","Q65042191","tt0835043","match","movie","Life of St. Paul","Life of St. Paul",0,"1938","\N","120","Adventure,Biography,Drama"
"1954 FAMAS Awards","Q4633679","tt0359438","not exact match","movie","Huk sa bagong pamumuhay","Huk sa bagong pamumuhay",0,"1953","\N","120","Action,Drama"
