"wikibase_item","PersonID","primaryName","birthYear","deathYear","primaryProfession","knownForTitles"
"Q2580326","nm0528166","William 'Link' Lyman","1898","1972",NA,"tt0025683"
"Q15437444","nm0035393","Doli Armena","1902","1975","actress","tt0031999"
"Q16010528","nm0036213","Eugen Arnesen","\N","\N","director,writer,actor","tt0929619,tt0929605,tt0267031,tt0929610"
"Q3560675","nm0317207","Victor Gibson","\N","\N","writer,actor","tt0017397,tt0134711,tt0012950,tt0163827"
"Q107278143","nm1445682","Krisztian Kery","1976","\N","stunts,actor,director","tt2404435,tt2179136,tt1853728,tt2975590"
"Q19587223","nm3026159","Flying Saucers","\N","\N",NA,"tt0080454,tt0416408"
"Q1991859","nm1882774","Ray Schoenke","1941","\N",NA,"tt0407423,tt0407424,tt0281438,tt0065323"
"Q28469700","nm0604848","The Loumell Morgan Trio","\N","\N","actor,soundtrack","tt0035625,tt0036151,tt0149927"
"Q2288561","nm4360293","Madison Kerry","\N","\N","actress","tt0094481"
"Q145424","nm3113433","Egon Schmidt","\N","\N","actor","tt0230218"
"Q27051003","nm6422566","Ahn So-yo","\N","\N","actress","tt26472764,tt21344706,tt5951198,tt3662830"
"Q115673370","nm0823900","Cassis Birgit Staudt","\N","\N","composer,location_management,music_department","tt1093908,tt0102536,tt0379217,tt0112817"
"Q56447763","nm3432782","Edwin Morrisby","1924","2001","producer,writer","tt0224989,tt1791580,tt1423647,tt23131810"
"Q4537431","nm2224609","Lisa Jalowetz","\N","\N","art_department","tt0136439,tt0397764"
"Q7659404","nm8447444","Gene Shirey","\N","\N",NA,"tt6045224"
"Q97223084","nm3200377","Tolga Tuzun","\N","\N","art_department,composer","tt7932896,tt1333648,tt3150586,tt14810626"
"Q3266070","nm1188622","Rachèle Benloulou-Dubin","1970","\N","producer,casting_director,actress","tt3498430,tt5126220,tt6191090,tt5341494"
"Q21062584","nm6061326","Helene Breschand","\N","\N","composer","tt2979682"
"Q8662","nm0071033","Rosemary E. Bengele","\N","\N","costume_department","tt0117287,tt0118557,tt0115961,tt0106926"
"Q1101154","nm1527725","Cliff Hagen","1931","\N",NA,"tt0071071"
"Q4140693","nm0035055","Irina Arkhipova","1925","2010","actress,assistant_director","tt0251443,tt1679551,tt0262079,tt0106591"
"Q4223985","nm0166670","Mrs. W.K. Clifford","1846","1929","writer","tt0148405,tt0015783,tt15325426,tt1646153"
"Q1740154","nm0098640","Joni Bottaro","\N","\N","art_department,set_decorator","tt0098653,tt0201861"
"Q7383678","nm1373362","Patrick Reams","\N","\N","director,writer,producer","tt1365539,tt1074218,tt2167393,tt0364830"
"Q16154029","nm0265815","Willy Faktorovitch","1915","1987","cinematographer,camera_department,actor","tt0025623,tt0174076,tt0178738,tt0028980"
"Q3588860","nm10369711","Emilie Jouvet","\N","\N","director","tt9537260"
"Q3021604","nm2956950","Delia Garcia","\N","\N","actress","tt1219169,tt1204252"
"Q7001379","nm1753588","Mats Karstensen","\N","\N",NA,"tt0296340"
"Q108741800","nm5685269","The Chantells","\N","\N",NA,"tt0059085,tt0276662"
"Q106043336","nm9784798","Brooke Castle","\N","\N","actress","tt8302002"
