"title","weighted_tags","wikibase_item","FilmID","primaryTitle","status","QID.imdb","imdb.status"
"Lady Jessika","classification.ores.articletopic/Culture.Media.Media*|1000|classification.ores.articletopic/Culture.Media.Films|822|classification.ores.articletopic/Culture.Media.Entertainment|1000|classification.ores.articletopic/Culture.Media.Books|992|classification.ores.articletopic/Culture.Literature|979|recommendation.image/exists|1","Q2724114","tt0087182","Dune","not exact match",NA,NA
"Lance Henriksen","classification.ores.articletopic/Culture.Biography.Biography*|955|classification.ores.articletopic/Culture.Media.Films|884|classification.ores.articletopic/Culture.Media.Media*|909","Q312077","tt18815410","The Quarry","not exact match",NA,NA
"Lechosław Marszałek","classification.ores.articletopic/Geography.Regions.Europe.Eastern_Europe|637|classification.ores.articletopic/Culture.Biography.Biography*|1000|classification.ores.articletopic/Culture.Media.Films|946|classification.ores.articletopic/Geography.Regions.Europe.Europe*|782|classification.ores.articletopic/Culture.Media.Media*|909","Q11753587","tt1237810","Pani Twardowska","not exact match",NA,NA
"Louis B. Mayer","classification.ores.articletopic/Culture.Biography.Biography*|792|classification.ores.articletopic/Culture.Media.Films|431|classification.ores.articletopic/Geography.Regions.Americas.North America|861|classification.ores.articletopic/Culture.Media.Radio|459|classification.ores.articletopic/Culture.Media.Media*|640","Q319682","tt3203606","Trumbo","not exact match",NA,NA
"National Film Registry","classification.ores.articletopic/Culture.Media.Media*|996|classification.ores.articletopic/Culture.Media.Films|998","Q823422","tt0045152","Singin' in the Rain","not exact match",NA,NA
"The Mandalorian (sezon 1)","classification.ores.articletopic/Culture.Media.Television|588|classification.ores.articletopic/Culture.Media.Films|331|classification.ores.articletopic/Culture.Media.Entertainment|780|classification.ores.articletopic/Culture.Media.Media*|985|recommendation.link/exists|1","Q81636613","tt8111088","The Mandalorian","not exact match",NA,NA
"Faramir","classification.ores.articletopic/Culture.Media.Media*|961|classification.ores.articletopic/Culture.Media.Films|877|classification.ores.articletopic/Culture.Literature|912","Q223468","tt0167261","The Lord of the Rings: The Two Towers","not exact match",NA,NA
"American Horror Story: Freak Show","classification.ores.articletopic/Culture.Media.Media*|989|classification.ores.articletopic/Culture.Media.Films|656|classification.ores.articletopic/Culture.Media.Entertainment|601|classification.ores.articletopic/Culture.Media.Television|953|recommendation.image_section/exists|1","Q16004491","tt1844624","American Horror Story","not exact match",NA,NA
"Star-Lord","classification.ores.articletopic/Culture.Visual arts.Visual arts*|978|classification.ores.articletopic/Culture.Literature|995|classification.ores.articletopic/Culture.Media.Films|427|classification.ores.articletopic/Culture.Visual arts.Comics and Anime|979","Q3496918","tt4154756","Avengers: Infinity War","not exact match",NA,NA
"Jenna Haze","classification.ores.articletopic/Culture.Biography.Biography*|608|classification.ores.articletopic/Culture.Media.Media*|996|classification.ores.articletopic/Culture.Sports|40|classification.ores.articletopic/Culture.Media.Films|998","Q231677","tt2434688","Skum Rocks!","not exact match",NA,NA
"Juliette Gréco","classification.ores.articletopic/Geography.Regions.Europe.Europe*|787|classification.ores.articletopic/Culture.Media.Media*|863|classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|851|classification.ores.articletopic/Culture.Media.Films|712|classification.ores.articletopic/Culture.Biography.Biography*|994","Q156485","tt0166420","Belphegor","not exact match",NA,NA
"Per Christian Ellefsen","classification.ores.articletopic/Culture.Media.Media*|777|classification.ores.articletopic/Geography.Regions.Europe.Europe*|948|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|983|classification.ores.articletopic/Culture.Biography.Biography*|1000|classification.ores.articletopic/Culture.Media.Films|538","Q1772927","tt0279064","Elling","not exact match",NA,NA
"Yosemite Sam","classification.ores.articletopic/Culture.Media.Media*|953|classification.ores.articletopic/Culture.Media.Films|722|classification.ores.articletopic/STEM.Biology|933","Q1248567","tt1204270","Tales of a Third Grade Nothing","not exact match",NA,NA
"Georges Méliès","classification.ores.articletopic/Culture.Biography.Biography*|679|classification.ores.articletopic/Culture.Media.Films|449","Q152272","tt0970179","Hugo","not exact match",NA,NA
"Melissa Benoist","classification.ores.articletopic/Culture.Media.Media*|953|classification.ores.articletopic/Geography.Regions.Americas.North_America|699|classification.ores.articletopic/Culture.Biography.Biography*|996|classification.ores.articletopic/Culture.Media.Films|724|classification.ores.articletopic/Culture.Biography.Women|554|recommendation.image_section/exists|1","Q46677","tt8504982","The Stew","not exact match",NA,NA
"Thomasin McKenzie","classification.ores.articletopic/History and Society.Society|539|classification.ores.articletopic/Culture.Media.Films|978|classification.ores.articletopic/Culture.Biography.Biography*|666|classification.ores.articletopic/Culture.Media.Media*|847","Q28935124","tt3892172","Leave No Trace","not exact match",NA,NA
