"title","wikibase_item","Studio"
"الملكة لويز (فيلم 1927)","Q14949914","studio = [[تيرا فيلم]] "
"هارتا بيردارا","Q16873412","studio = [[أفلام يونيون]] "
"موسان (فيلم)","Q6916621","studio = | distributor = "
"لا تتزوج من أجل المال","Q3713455","studio = ويبر آند نورث للإنتاج "
"فاهافالو، مدغشقر 1947","Q75610719","studio = | distributor = لاتري للإنتاج<br /> كوبرا للأفلام<br /> معهد الدوحة السينمائي "
"بلدة صغيرة تسمى النسب","Q42048906","studio = Moments Entertainment "
"إينالي (فيلم)","Q18151055","studio = BIK Entertainment "
"الحرية (فيلم 2016)","Q64850488","studio = LIMIT Production "
"المملكة المنسية (فيلم)","Q57699425","studio = | distributor = "
"وعد جاها (فيلم)","Q47454237","studio = أكسيدنتال بيكتشرز<br>الغارديان نيوز آند ميديا "
"ماباتا باتا (فيلم)","Q61642070","studio = | distributor = "
"تاتو (فيلم)","Q99894779","studio = | released = {{تاريخ صدور فيلم"
"فوق الحد","Q323174","studio = [[ميوتوسكوب"
"أختي وأنا (فيلم عام 1929)","Q21869655","studio = [[National Film]] "
"الصغيرة بائعة الشمس","Q5964798","studio = | released = {{تاريخ صدور فيلم"
"رحيمة (فيلم 2017)","Q27940635","studio = مانزي ميديا{{-}}استوديوهات أو للترفيه "
"بينما نعيش (فيلم)","Q108794443","studio = DFM <br /> Film i Skåne <br />Way Creative Films "
"هذه السيدة تدعى الحياة (فيلم)","Q104835734","studio = | distributor = فيلم وان للترفيه "
"صديقي فيلا (فيلم)","Q61642189","studio = | distributor = "
"دمى انتحارية (فيلم)","Q7635333","studio = {{قائمة غير مرقمة"
"أين أطفالي؟","Q1948270","studio = لويس ويبر للإنتاج "
"سندريلا (فيلم 1955)","Q722469","studio = أفلام فريتز غينشو "
"بوسكو في حديقة الحيوان","Q16039755","studio = [[Harman and Ising"
"آه ، برية! (فيلم)","Q4694846","studio = [[مترو غولدوين ماير]] "
"الشرطي (فيلم 1928)","Q1315787","studio = [[سيسيل ديميل]] "
"حدوة الحصان المكسورة (فيلم)","Q7720254","studio = [[Nettlefold Films]] (UK) "
"الفراشة المذهبة","Q43303250","studio = [[شركة فوكس فيلم]] "
"رجال مجهولون","Q48818141","studio = [[تيفاني بيكتشرز]] "
"غبومو غبومو إكسبريس","Q21646428","studio = Waltbanger 101 Productions "
"ديمقراطيون (فيلم)","Q20756073","studio = أفلام آب فرونت "
"بوسكاندو أ كاسال (فيلم)","Q105407018","studio = | distributor = "
"باريس بحسب موسى (فيلم)","Q58901449","studio = Bako BroductionsLes <br /> Films de l'Alliance "
"جزيرة كونتيندا (فيلم)","Q7742698","studio = فيرميديا<br/>RTP<br/>MBSA<br/>ساغا فيلم<br/>المعهد السينمائي في الرأس الأخضر "
"أكوناك تادالات تاها تازوغاي (فيلم)","Q101245282","studio = | distributor = "
"كواكو أنانسي (فيلم)","Q18151497","studio = أوبيبيني بيكتشرز "
"ران بايبي ران (فيلم)","Q7379496","studio = | distributor = "
"ممزق (فيلم)","Q17109316","studio = | distributor = دريم هاوس للإنتاج "
"مارغاريدا العذراء (فيلم)","Q108913557","studio = Ebano Multimedia<br> Fonds Images Afrique du Ministère Français des Affaires Etranges <br> Instituto do Cinema e do Audiovisual<br>JBA<br>Radiotelevisão Portuguesa Ukbar Filmes "
"طفل رعاة البقر","Q21527575","studio = [[شركة فوكس فيلم]] "
"رقصات الكونغرس (فيلم 1955)","Q1194914","studio = {{قائمة غير مرقمة"
"من بعدك أيها الدوق","Q21426928","studio = Comptoir Français du Film "
"آدم وحواء (فيلم 1928)","Q27958782","studio = فيلم رينهولد شونزل "
"جان المرأة","Q1516837","studio = شركة كاردينال فيلم<br>[[شركة فيموس بلايرز-لاسكي]] "
"غوغو وأنديل (فيلم)","Q16841183","studio = أفلام لونار، فايرووركس ميديا "
"تراينغل: الذهاب إلى أمريكا (فيلم)","Q101245258","studio = | distributor = "
"بوتومانتو (فيلم)","Q18170276","studio = [[Sparrow Production]] "
"كلما جاءوا أصعب (فيلم)","Q576909","studio = {{قائمة بسيطة"
"دورا نيلسون","Q12145005","studio = أفلام فلوريس "
"خطيب واحد في الوقت","Q10483284","studio = Bauman-Produktion "
