"title","weighted_tags","wikibase_item","FilmID","primaryTitle","status","QID.imdb","imdb.status"
"Steven Soderbergh","classification.ores.articletopic/Culture.Biography.Biography*|274|classification.ores.articletopic/Geography.Regions.Americas.North America|640|classification.ores.articletopic/Culture.Media.Media*|972|classification.ores.articletopic/Culture.Media.Films|989|classification.ores.articletopic/Culture.Sports|34","Q103917","tt1598778","Contagion","not exact match",NA,NA
"Kaya Scodelario","classification.ores.articletopic/Culture.Biography.Biography*|943|classification.ores.articletopic/Culture.Media.Media*|919|classification.ores.articletopic/Culture.Media.Films|803","Q229651","tt2328678","The King's Daughter","not exact match",NA,NA
"Andy Serkis","classification.ores.articletopic/Culture.Media.Media*|965|classification.ores.articletopic/Culture.Biography.Biography*|743|classification.ores.articletopic/Culture.Media.Films|917","Q206922","tt0364913","2003 MTV Movie Awards","not exact match",NA,NA
"Hayden Panettiere","classification.ores.articletopic/Culture.Media.Media*|988|classification.ores.articletopic/Culture.Media.Music|737|classification.ores.articletopic/Culture.Biography.Women|904|classification.ores.articletopic/Culture.Media.Films|803|classification.ores.articletopic/Geography.Regions.Americas.North_America|644|classification.ores.articletopic/Culture.Biography.Biography*|996","Q171571","tt2742544","Until Dawn","not exact match",NA,NA
"Terrence Malick","classification.ores.articletopic/Culture.Media.Films|995|classification.ores.articletopic/Culture.Media.Media*|992","Q215478","tt1595656","To the Wonder","not exact match",NA,NA
"Aragorn","classification.ores.articletopic/Culture.Literature|731|classification.ores.articletopic/Culture.Media.Media*|847|classification.ores.articletopic/Culture.Media.Films|507","Q180322","tt0077869","The Lord of the Rings","not exact match",NA,NA
"Hayley Atwell","classification.ores.articletopic/Culture.Biography.Biography*|914|classification.ores.articletopic/Culture.Media.Media*|808|classification.ores.articletopic/Culture.Media.Films|817|classification.ores.articletopic/Culture.Biography.Women|500|recommendation.image_section/exists|1","Q234959","tt2577192","Howards End","not exact match",NA,NA
"Live action","classification.ores.articletopic/Culture.Media.Films|973|classification.ores.articletopic/Culture.Media.Media*|991|recommendation.image/exists|1","Q517386","tt0109813","The Flintstones","not exact match",NA,NA
"James Gunn (regista)","classification.ores.articletopic/Culture.Media.Films|960|classification.ores.articletopic/Geography.Regions.Americas.North_America|507|classification.ores.articletopic/Culture.Media.Media*|985|classification.ores.articletopic/Culture.Biography.Biography*|637","Q717015","tt0114733","Tromeo and Juliet","not exact match",NA,NA
"Studi di Cinecittà","classification.ores.articletopic/Culture.Media.Films|960|classification.ores.articletopic/Geography.Regions.Europe.Southern_Europe|787|classification.ores.articletopic/Culture.Media.Media*|961|classification.ores.articletopic/Geography.Regions.Europe.Europe*|562","Q728399","tt0020738","La canzone dell'amore","not exact match",NA,NA
"Rick Hoffman","classification.ores.articletopic/Culture.Media.Media*|921|classification.ores.articletopic/Culture.Biography.Biography*|978|classification.ores.articletopic/Culture.Media.Films|817","Q3431553","tt0415456","Jake in Progress","not exact match",NA,NA
"Auguste e Louis Lumière","classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|592|classification.ores.articletopic/Culture.Media.Films|896|classification.ores.articletopic/Geography.Regions.Europe.Europe*|615|classification.ores.articletopic/Culture.Media.Media*|793|classification.ores.articletopic/Culture.Biography.Biography*|523","Q55965","tt0221888","Course en sacs","not exact match",NA,NA
"Jack Sparrow","classification.ores.articletopic/Culture.Media.Media*|912|classification.ores.articletopic/Culture.Literature|554|classification.ores.articletopic/Culture.Media.Films|867","Q202857","tt0383574","Pirates of the Caribbean: Dead Man's Chest","not exact match",NA,NA
"Renato Pinciroli","classification.ores.articletopic/Culture.Media.Media*|921|classification.ores.articletopic/Geography.Regions.Europe.Europe*|607|classification.ores.articletopic/Culture.Biography.Biography*|973|classification.ores.articletopic/Geography.Regions.Europe.Southern_Europe|705|classification.ores.articletopic/Culture.Media.Films|938","Q15411537","tt0193405","Per amore di Cesarina","not exact match",NA,NA
"Alfonso Cuarón","classification.ores.articletopic/Culture.Media.Media*|998|classification.ores.articletopic/Culture.Biography.Biography*|712|classification.ores.articletopic/Culture.Media.Films|998","Q28028","tt6304596","The Bet","not exact match",NA,NA
"Tom Sizemore","classification.ores.articletopic/Culture.Biography.Biography*|859|classification.ores.articletopic/Geography.Regions.Americas.North_America|585|classification.ores.articletopic/Culture.Media.Films|949|classification.ores.articletopic/Culture.Media.Media*|938","Q349852","tt0110632","Natural Born Killers","not exact match",NA,NA
"Domenico Procacci","classification.ores.articletopic/Culture.Media.Media*|863|classification.ores.articletopic/Culture.Media.Films|787|classification.ores.articletopic/Culture.Biography.Biography*|622","Q3034759","tt6304596","The Bet","not exact match",NA,NA
"Nunzia Schiano","classification.ores.articletopic/Culture.Biography.Biography*|972|classification.ores.articletopic/Culture.Media.Films|523","Q3879475","tt0814354","Ti lascio perché ti amo troppo","not exact match",NA,NA
"Richard Chamberlain","classification.ores.articletopic/Culture.Media.Media*|977|classification.ores.articletopic/Culture.Media.Films|907|classification.ores.articletopic/Culture.Biography.Biography*|992|recommendation.image_section/exists|1","Q295847","tt1002865","Distant Past","not exact match",NA,NA
"Corey Stoll","classification.ores.articletopic/Culture.Biography.Biography*|949|classification.ores.articletopic/Geography.Regions.Americas.North_America|777|classification.ores.articletopic/Culture.Media.Media*|870|classification.ores.articletopic/Culture.Media.Films|718","Q26231","tt0663226","Sacrifice","not exact match",NA,NA
"Giulio Base","classification.ores.articletopic/Culture.Media.Films|874|classification.ores.articletopic/Culture.Media.Media*|880|classification.ores.articletopic/Culture.Biography.Biography*|983","Q465089","tt0491720","The Final Inquiry","not exact match",NA,NA
"Jude Hill","classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|754|classification.ores.articletopic/Culture.Biography.Biography*|989|classification.ores.articletopic/Culture.Media.Films|851|classification.ores.articletopic/Geography.Regions.Europe.Europe*|874|classification.ores.articletopic/Culture.Media.Media*|859","Q108810738","tt12789558","Belfast","not exact match",NA,NA
"Marcia Cross","classification.ores.articletopic/Culture.Biography.Women|926|classification.ores.articletopic/Culture.Biography.Biography*|998|classification.ores.articletopic/Geography.Regions.Americas.North_America|600|classification.ores.articletopic/Culture.Media.Films|658|classification.ores.articletopic/Culture.Media.Media*|907","Q189547","tt0534721","Organ Grinder","not exact match",NA,NA
"Sergio Assisi","classification.ores.articletopic/Geography.Regions.Europe.Europe*|507|classification.ores.articletopic/Culture.Media.Films|731|classification.ores.articletopic/Culture.Biography.Biography*|975|classification.ores.articletopic/Culture.Media.Media*|592","Q1039164","tt6041232","Rimbocchiamoci le maniche","not exact match",NA,NA
"Brunella Bovo","classification.ores.articletopic/Culture.Media.Films|622|classification.ores.articletopic/Culture.Media.Media*|884|classification.ores.articletopic/Culture.Biography.Biography*|822","Q3645575","tt0044184","Revenge of a Crazy Girl","not exact match",NA,NA
"Robert Downey Sr.","classification.ores.articletopic/Culture.Media.Media*|967|classification.ores.articletopic/Geography.Regions.Americas.North_America|500|classification.ores.articletopic/Culture.Biography.Biography*|743|classification.ores.articletopic/Culture.Media.Films|959","Q587102","tt0473254","Rittenhouse Square","not exact match",NA,NA
"Il padrino (serie di film)","classification.ores.articletopic/Geography.Regions.Americas.North_America|749|classification.ores.articletopic/Culture.Media.Media*|980|classification.ores.articletopic/Culture.Media.Films|955","Q3225260","tt0071562","The Godfather Part II","not exact match",NA,NA
"Paul Verhoeven","classification.ores.articletopic/Culture.Media.Media*|977|classification.ores.articletopic/Culture.Media.Films|974|classification.ores.articletopic/Culture.Biography.Biography*|777|classification.ores.articletopic/Geography.Regions.Europe.Europe*|500","Q129079","tt3716530","Elle","not exact match",NA,NA
"Lorenzo De Angelis","classification.ores.articletopic/Culture.Media.Films|777|classification.ores.articletopic/Culture.Biography.Biography*|855|classification.ores.articletopic/Culture.Media.Media*|839","Q3836931","tt25729440","Restare o partire?","not exact match",NA,NA
"Monster High","classification.ores.articletopic/Culture.Literature|622|classification.ores.articletopic/Culture.Media.Films|562|classification.ores.articletopic/Culture.Media.Media*|960|recommendation.image/exists|1","Q36120","tt5898034","Monster High: Welcome to Monster High","not exact match",NA,NA
