"title","wikibase_item","Studio"
"Bruce Springsteen","Q1225","studio = 21 "
"Coldplay","Q45188","studio = 9 "
"Chris Martin","Q712860","studio = 9 "
"Travis Scott","Q13605596","studio = 4 "
"Enzo Iacchetti","Q3726555","studio = 4 "
"Heidi (serie animata 1974)","Q715718","studio = [[Zuiyo"
"Ozzy Osbourne","Q133151","studio = 9 <small>(con i Black Sabbath)</small><br />12 <small>(da solista)</small> "
"My Hero Academia","Q18047903","studio = [[Bones (azienda)"
"Depeche Mode","Q482964","studio = 15 "
"Rihanna","Q36844","studio = 8 "
"Fullmetal Alchemist","Q189562","studio = [[Bones (azienda)"
"Billie Eilish","Q29564107","studio = 2 "
"Antonio Di Pietro","Q47547","studio = Laurea in giurisprudenza "
"Lisa Marie Presley","Q237324","studio = 3 "
"Lindsay Lohan","Q44903","studio = 2 "
"Michail Gorbačëv","Q30487","studio = Doktor nauk "
"BTS","Q13580495","studio = 9 "
"Stevie Ray Vaughan","Q202937","studio = 4 "
"Ilona Staller","Q49941","studio = 7 "
"Giovanni Verga","Q271814","studio = |alma mater = "
"Loredana Bertè","Q434907","studio = 19 "
"Death Note","Q1834","studio = [[Madhouse (azienda)"
"Syd Barrett","Q173061","studio = 4 "
"Giorgio Moroder","Q312674","studio = 8 "
"Stefano D'Orazio","Q3972445","studio = 4 }} {{Bio "
"Leonardo Sciascia","Q317142","studio = Diploma di istituto magistrale "
"Avril Lavigne","Q30449","studio = 7 "
"Lovely Sara","Q702071","studio = [[Nippon Animation]] "
"SpongeBob","Q83279","studio = [[United Plankton Pictures]] "
"Max Gazzè","Q3853042","studio = 12 "
"Adele (cantante)","Q23215","studio = 4 "
"Lenin","Q1394","studio = Laurea in [[Giurisprudenza"
"Gino Paoli","Q470554","studio = 30 "
"Franco Franchi","Q555490","studio = 1 "
"Elisa (cantante 1977)","Q166164","studio = 11 "
"Eric Clapton","Q48187","studio = 21 "
"Dire Straits","Q50040","studio = 6 "
"Pinocchio","Q6502703","studio = |studio nota = "
"Pedro Almodóvar","Q55171","studio = |album live = "
"Genesis","Q151012","studio = 15 "
"Roger Waters","Q180861","studio = 18 (di cui 12 con i [[Pink Floyd]]) "
"Sabrina Salerno","Q232479","studio = 6 "
"Europe","Q185144","studio = 11 "
"Charles Aznavour","Q1785","studio = 39 "
"Mariah Carey","Q41076","studio = 15 "
"Henry Kissinger","Q66107","studio = [[Bachelor of Arts"
"Matteo Branciamore","Q3852083","studio = 5 "
"Augusto Pinochet","Q368","studio = [[Accademia militare]] "
"Gerald Ford","Q9582","studio = [[Bachelor of Arts]]<br />[[Bachelor of Laws]] }} {{Bio "
"Frieren - Oltre la fine del viaggio","Q98642652","studio = [[Madhouse (azienda)"
"J-Ax","Q1749089","studio = 8 "
"Ray Charles","Q544387","studio = |album live = "
"Elisabetta Gardini","Q3723227","studio = Diploma di liceo classico "
"50 Cent","Q6060","studio = 6 "
"Sinéad O'Connor","Q193982","studio = 10 "
"Caparezza","Q25159","studio = 8 <small>(+ 2 come Mikimix)</small> "
"Carmen Consoli","Q447139","studio = 9 "
"Deep Purple","Q101505","studio = 22 "
"Rick and Morty","Q15659308","studio = |rete = [[Adult Swim]] "
"Zuzana Čaputová","Q26273268","studio = Laurea in giurisprudenza "
"Ronnie Spector","Q2295075","studio = |album live = "
"Luca Barbarossa","Q707439","studio = 12 "
"Walter Ricciardi","Q13494188","studio = Laurea in medicina e chirurgia "
"Brigitte Nielsen","Q154519","studio = 2 "
"Liliana Segre","Q1825004","studio = [[Dottorato]] honoris causa in [[storia dell'Europa]]<br/>[[Dottorato]] honoris causa in studi umanistici transculturali<br/>[[Laurea honoris causa]] in [[giurisprudenza]]<br/>[[Laurea honoris causa]] in [[pedagogia"
"Serena Rossi","Q3955856","studio = 1 "
"Sia (cantante)","Q181484","studio = 10 "
"Richard Benson","Q3430526","studio = 2 "
"Andrea Bocelli","Q42402","studio = 16 "
"George Harrison","Q2643","studio = 12 "
"Vinicio Capossela","Q1052770","studio = 12 "
"Detective Conan","Q185143","studio = [[TMS Entertainment]] "
"Enzo Jannacci","Q1046038","studio = 22 (2 con [[Giorgio Gaber]]) "
"Saddam Hussein","Q1316","studio = Laurea in [[giurisprudenza]] "
"Gigi D'Agostino","Q311748","studio = 66 "
"Doja Cat","Q51120673","studio = 4 "
"Le Superchicche","Q1236206","studio = [[Hanna-Barbera]] (1998-2001) "
"Robbie Williams","Q47875","studio = 12 "
"Tim Curry","Q52392","studio = 5 "
"Boruto (manga)","Q25922646","studio = [[Pierrot (azienda)"
"Riccardo Cocciante","Q471344","studio = |album live = "
"Spy × Family","Q65231576","studio = [[Wit Studio]] "
"Fleetwood Mac","Q106648","studio = 17 "
"Gianna Nannini","Q232468","studio = 20 "
"Kiss Me Licia","Q721121","studio = [[Toei Animation]] "
"Frank Zappa","Q127330","studio = 39 "
"Johnny Cash","Q42775","studio = 67 "
"Due fantagenitori","Q39037","studio = [[Nelvana]] "
"Peppa Pig","Q938985","studio = [[Entertainment One]] "
"John Carpenter","Q95008","studio = 3 "
"Natalia Ginzburg","Q275985","studio = |alma mater = "
"Justin Bieber","Q34086","studio = 6 "
"Lo straordinario mondo di Gumball","Q906186","studio = [[Cartoon Network Development Studio Europe]] "
"Jim Belushi","Q107933","studio = |album live = "
"One-Punch Man","Q5102879","studio = [[Madhouse (azienda)"
"Emma Bunton","Q219878","studio = 4 "
"Dragon Ball Z","Q477916","studio = [[Toei Animation]] "
"Pete Burns","Q2082089","studio = 8 "
"Calcutta (cantante)","Q24066841","studio = 3 "
"Duran Duran","Q58381","studio = 16 "
"Dragon Ball (serie animata)","Q239506","studio = [[Toei Animation]] "
"Luigi Tenco","Q469068","studio = 3 "
"Lenny Kravitz","Q180224","studio = 11 "
"Gianrico Carofiglio","Q1246500","studio = Laurea in giurisprudenza "
"Don Johnson","Q309788","studio = |album live = "
"Green Day","Q47871","studio = 13 "
"Cecilia Gayle","Q3664108","studio = 4 "
"Paolo Carta","Q3893857","studio = 2 }} {{Bio "
"Nunzio Gallo","Q970271","studio = 3 "
"Bruno Filippini","Q3645754","studio = 1 "
"Tina Turner","Q131814","studio = 10 "
"Bill Cosby","Q213512","studio = 23 "
"Michael Portillo","Q333525","studio = |alma mater = }} {{Bio "
"Samuele Bersani","Q1844447","studio = 9 "
"Donatella Rettore","Q403587","studio = 13 "
"Võ Nguyên Giáp","Q179910","studio = |alma mater = "
"Winx Club","Q77522","studio = [[Rainbow (azienda)"
"Iron Maiden","Q42482","studio = 17 "
"David Gilmour","Q178517","studio = 4 "
"Chris Cornell","Q270935","studio = 5 "
"Claudia Mori","Q287976","studio = 4 "
"Melanie C","Q151830","studio = 8 "
"Jacqueline Kennedy Onassis","Q165421","studio = |alma mater = [[George Washington University]] "
"Alberto Moravia","Q161933","studio = |alma mater = "
"Jeff Buckley","Q215855","studio = 1 (2 postumi) "
"Barbra Streisand","Q4636","studio = 34 "
"Axl Rose","Q11885","studio = 6 "
"Masha e Orso","Q2667119","studio = Animaccord "
"Judy Garland","Q11637","studio = |album live = "
"Ludovico Einaudi","Q83182","studio = |album live = "
"Kiss (gruppo musicale)","Q124179","studio = 20 "
"Oasis","Q382890","studio = 7 "
"Tokio Hotel","Q386216","studio = 7 "
"Melanie Brown","Q236005","studio = 2 "
"Hilary Duff","Q122020","studio = 5 "
"Alanis Morissette","Q130742","studio = 9 "
"Giovanni Allevi","Q2475200","studio = 10 "
"Thirty Seconds to Mars","Q40585","studio = 6 "
"Luis Miguel","Q1069140","studio = |album live = "
"Corrado Guzzanti","Q1052910","studio = 1 "
"Zoë Kravitz","Q227129","studio = 2 "
"Dean Martin","Q215359","studio = |album live = "
"Francesco Facchinetti","Q3749945","studio = 3 "
"Il Volo (gruppo musicale anni 2010)","Q177732","studio = 7 "
"Ramones","Q483407","studio = 14 "
"Mahmood","Q60036307","studio = 2 "
"One Direction","Q146027","studio = 5 "
"Angela Merkel","Q567","studio = PhD in [[chimica fisica]] "
"Stevie Wonder","Q714","studio = 27 "
"Bill Wyman","Q312559","studio = 11 "
"Blind Guardian","Q152540","studio = 10 "
"Alessandra Mussolini","Q285543","studio = Laurea in medicina e chirurgia "
"Margherita Vicario","Q17277429","studio = 2 }} {{Bio "
"Simple Minds","Q748836","studio = 16 "
"Kylie Minogue","Q11998","studio = 16 "
"John Frusciante","Q188980","studio = 10 "
"Nick Kamen","Q958683","studio = 4 "
"Salvador Allende","Q440","studio = Laurea in Medicina e Chirurgia "
"Cristel Carrisi","Q3697725","studio = 2 "
"Jung Kook","Q22338877","studio = |colonne sonore = "
"UFO Robot Goldrake","Q700424","studio = [[Toei Animation]] "
"Serena Autieri","Q3955847","studio = 1 }} {{Bio "
"Chad Smith","Q269500","studio = }} {{Bio "
"Keith Richards","Q189599","studio = 36 (3 solista) "
"Oliver Cromwell","Q44279","studio = |alma mater = [[Sidney Sussex College]] ([[Università di Cambridge]]) "
"Tom Jones (cantante)","Q180850","studio = 41 "
"Francesco Nuti","Q767973","studio = 1 "
"Pedro Sánchez","Q6070218","studio = Laurea in economia "
"Black Sabbath","Q47670","studio = 19 "
"Elio (cantante)","Q1058124","studio = 10 "
"Edoardo Bennato","Q774617","studio = 20 "
"Bono (cantante)","Q834621","studio = 14 "
"Charlotte Gainsbourg","Q276005","studio = |album live = "
"The Eminence in Shadow","Q97350479","studio = [[Nexus (azienda)"
"Orietta Berti","Q1054853","studio = 54 "
"Corrado Augias","Q1130103","studio = Laurea in [[Giurisprudenza]]<ref>[[Il Fatto Quotidiano]] del 7 febbraio 2015</ref> "
"Squallor","Q3967430","studio = 14 "
"Backstreet Boys","Q17140","studio = 9 "
"Dori Ghezzi","Q1052374","studio = 13 "
"Mark Knopfler","Q185343","studio = 9 "
