"title","weighted_tags","wikibase_item","PersonID","primaryName","status","QID.imdb","imdb.status"
"Ashanti (artist)","classification.ores.articletopic/Culture.Biography.Biography*|968|classification.ores.articletopic/Culture.Media.Music|767|classification.ores.articletopic/Culture.Biography.Women|932|classification.ores.articletopic/Culture.Media.Media*|717|classification.ores.articletopic/Geography.Regions.Americas.North America|604","Q161877","nm1215338",NA,NA,"nm0038680",NA
"Jonas Hellborg","classification.ores.articletopic/Culture.Media.Music|944|classification.ores.articletopic/Culture.Media.Media*|892|classification.ores.articletopic/Culture.Biography.Biography*|964","Q762693","nm2525229","Jonas Hellborg","match",NA,NA
"Maloosak","classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|959|classification.ores.articletopic/Culture.Biography.Biography*|843|classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|782|classification.ores.articletopic/Geography.Regions.Europe.Europe*|724","Q4965275","nm9991182","Maloosak","match",NA,NA
"Eva Nazemson","classification.ores.articletopic/Culture.Biography.Biography*|965|classification.ores.articletopic/Culture.Media.Media*|851|classification.ores.articletopic/Culture.Media.Television|699","Q4969042","nm4945831","Eva Nazemson","match",NA,NA
"Ulf Stenberg","classification.ores.articletopic/Culture.Biography.Biography*|993|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|953|classification.ores.articletopic/Geography.Regions.Europe.Europe*|851|classification.ores.articletopic/Culture.Media.Media*|822|classification.ores.articletopic/Culture.Media.Films|592","Q119239058","nm2378976","Ulf Stenberg","match",NA,NA
"Johnny Carson","classification.ores.articletopic/Culture.Media.Media*|766|classification.ores.articletopic/Geography.Regions.Americas.North_America|737|classification.ores.articletopic/Culture.Biography.Biography*|1000","Q310819","nm1992",NA,NA,"nm0001992",NA
"Al Jolson","classification.ores.articletopic/Geography.Regions.Americas.North America|854|classification.ores.articletopic/Culture.Media.Music|881|classification.ores.articletopic/Culture.Media.Media*|883|classification.ores.articletopic/Culture.Biography.Biography*|894","Q128532","nm427231",NA,NA,"nm0427231",NA
"Oliver Phelps","classification.ores.articletopic/Culture.Media.Media*|933|classification.ores.articletopic/Culture.Sports|66|classification.ores.articletopic/Culture.Biography.Biography*|488","Q10863062","nm962360",NA,NA,"nm0962360",NA
"Markiplier","classification.ores.articletopic/Culture.Media.Video games|910|classification.ores.articletopic/Culture.Media.Entertainment|930|classification.ores.articletopic/Culture.Media.Media*|983|classification.ores.articletopic/Culture.Internet culture|992|classification.ores.articletopic/Culture.Biography.Biography*|773|recommendation.link/exists|1","Q16729001","nm6290555",NA,NA,"nm6179964",NA
"Anna Azcárate","classification.ores.articletopic/Culture.Media.Films|622|classification.ores.articletopic/Culture.Biography.Biography*|977|classification.ores.articletopic/Geography.Regions.Europe.Europe*|863|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|847|classification.ores.articletopic/Culture.Media.Media*|803|classification.ores.articletopic/Culture.Biography.Women|577","Q4937105","nm4372603",NA,NA,"nm0044078",NA
